SMILES,Name
Clc1ccccc1C(=O)OCCCN1C(=O)Nc2ccccc12,ZINC03567988
COc1ccc(Nc2oc(nc2C#N)-c2ccc(Cl)cc2)cc1,ZINC00083895
COC(=O)c1nc(NNc2ccccc2)sc1-c1ccccc1,ZINC00537452
COc1ccc(Br)cc1\C=C\C(=O)Nc1ccc2OC(=O)C=Cc2c1,ZINC02436504
CC(=O)Nc1ccc(OCC(=O)Nc2ccc(F)c(Cl)c2)cc1,ZINC03488912
CCNC(=O)C(\NC(=O)c1cccc(Br)c1)=C\c1ccco1,ZINC02117404
COc1cc(cc(Cl)c1OCC#C)C=C1C(=O)c2ccccc2C1=O,ZINC02123438
CCc1ccc(cc1)C(=O)CSc1nnc([n-]1)-c1ccccc1,ZINC02873474
Cn1cccc1\C=C1/SC(=O)N(CC(=O)Nc2ccc(Cl)cc2)C1=O,ZINC04443464
COc1cc(\C=C2/C(=C)NN(C2=O)c2ccc(C)cc2)c(Cl)cc1O,ZINC02087276
COc1ccc2C=C(SC(=O)c2c1OC)C(=O)Nc1ccc(Cl)cc1,ZINC00703717
COc1cccc(c1)\C=C1\S\C(NC1=O)=N/c1ccccc1Cl,ZINC03900257
Cc1ccc(NC(=O)CSCC(=O)Nc2ccc(F)cc2)cc1,ZINC02549520
Cc1ccc(NC(=S)NNC(=O)c2ccc(C)cc2)cc1,ZINC02684464
Brc1ccc(NC(=O)COC(=O)c2cc3ccccc3o2)cc1,ZINC02973375
CCOc1cccc(\C=C2\SC(=O)N(C2=O)c2ccccc2)c1O,ZINC03853900
COCCNC(=O)c1c(noc1-c1ccoc1)-c1ccccc1Cl,ZINC02482136
CC1=CC(=O)NC(Nc2nc(-c3ccccc3)c3cc(Cl)ccc3n2)=N1,ZINC03969852
Cc1c(Cl)cccc1NC1=NN=C(Cc2ccccc2)C(=O)N1,ZINC02718741
Cc1ccc(C)c(c1)S(=O)(=O)N\N=C\c1ccc(Cl)cc1,ZINC03392746
CSc1cccc(NC(=O)C2=CCC(=O)N(N2)c2ccccc2)c1,ZINC02630806
COc1cccc(c1)\C=C1/SC(Nc2ccccc2O)=NC1=O,ZINC00350547
CC(C)C(NS(=O)(=O)c1cccs1)C(=O)Nc1cccc(F)c1,ZINC03907487
Fc1ccc(NC(=O)c2cc(nn2Cc2ccccc2)N(=O)=O)cc1,ZINC00173447
CC(C)CC(=O)Nc1ccc(NC(=O)c2cccs2)cc1,ZINC00318782
Fc1ccc(c(F)c1)-c1cc2cc(ccc2[nH]1)S(=O)(=O)N1CCOCC1,ZINC01519466
CSc1ccccc1NC(=O)CSc1ncnc2ccccc12,ZINC03313660
CCSc1nnc(NC(=O)COc2cccc3ccccc23)s1,ZINC02630609
Fc1ccc(cc1)C(=O)[N-]c1nnc(Cc2c[nH]c3ccccc23)s1,ZINC00784023
Cc1ccc(cc1)C(=O)[N-]c1nnc(\N=C\c2cccs2)s1,ZINC01510673
COc1ccc(cc1)N1C(=S)N\C(=C\c2ccc3OCOc3c2)C1=O,ZINC03858751
Cc1cccc(OCC(=O)Nc2nc3c(Cl)cccc3s2)c1,ZINC00558625
COc1ccccc1NC(=O)COc1ccc(Cl)cc1CO,ZINC02871606
CC(Oc1ccc(C)cc1Br)C(=O)N\N=C\c1ccncc1,ZINC00943562
COc1cccc(c1)C1C=C(Nc2nnnn12)c1ccc(Br)cc1,ZINC02220641
Cc1ccc(cc1)N1C([S-])=NC(=O)/C(=C/c2cccn2C)C1=O,ZINC03857534
NC(=S)N\N=C/c1cn(Cc2ccccc2C#N)c2ccccc12,ZINC01098408
CC(=O)Nc1ccccc1NC(=O)COc1ccc(C)cc1Br,ZINC01208267
COc1ccc(cc1)-c1noc(CCC(=O)Nc2ccccc2F)n1,ZINC00428490
Cc1cccc(NC(=O)CN(c2ccc(Br)cc2)S(C)(=O)=O)c1,ZINC00652931
O=C(NC(=S)N1CCCc2cc(SC#N)ccc12)c1ccco1,ZINC03172762
Cc1cccc(CCNC(=O)\C=C2\Sc3ccccc3NC2=O)c1,ZINC03854799
CC(OC(=O)c1ccccc1)C(=O)Nc1ccc(Cl)cn1,ZINC03398596
COc1cc(cc(Br)c1OCC#C)C=C1C(=O)c2ccccc2C1=O,ZINC02970817
CC(=O)Nc1ccc(OCC(=O)Nc2cccc(Br)c2)cc1,ZINC03488914
CCC(C)N1C(=S)NC(=O)\C(=C\c2cnn(c2)-c2ccccc2)C1=O,ZINC03853170
Fc1ccc(NC(=O)CCc2nc(no2)-c2cccs2)cc1,ZINC00428798
Fc1ccccc1Cc1nnc(NC(=O)\C=C/c2ccccc2)s1,ZINC03859504
CC(Sc1ccc(C)cc1)C(=O)Nc1ccccc1C(N)=O,ZINC02881703
Cc1nc2ccc(N\N=C3\C(=C)NN(c4ccccc4)C3=O)cc2s1,ZINC03992727
CN(C)c1ccc(cc1)\C=N/n1c(S)nnc1-c1ccncc1,ZINC00028759
Fc1cccc(NC(=O)COC(=O)\C=C/c2ccc3OCOc3c2)c1,ZINC03867629
COc1ccc(F)cc1S(=O)(=O)[N-]c1ccc(cc1)-c1ccccc1,ZINC01067408
CCOc1ccccc1NC(=S)Nc1ccc2C(C)=CC(=O)Oc2c1,ZINC02856752
Cc1cc(Cl)ccc1NC(=O)C(=O)N\N=C\c1ccc2OCOc2c1,ZINC03060081
Cc1c(NC(=O)CSc2cccc3cccnc23)cccc1N(=O)=O,ZINC03275585
Cc1cc(NS(=O)(=O)c2ccccc2)n(n1)-c1ccc(Br)cc1,ZINC04450216
Clc1cccc(c1)S(=O)(=O)[N-]c1nc2ccccc2nc1NCC=C,ZINC02407361
COc1ccc(cc1)N1C(=S)NC(=O)\C(C1=O)=C/C=C\c1ccco1,ZINC03859432
CCC(Sc1nccn1C)C(=O)Nc1nc2ccccc2s1,ZINC00077140
Cc1ccc2nc(NC(=O)CNc3ccc(F)cc3)sc2c1,ZINC03221524
COC(=O)c1ccc2C(=O)N(C(C)c3ccccc3)C(=S)[N-]c2c1,ZINC00424916
CC1([N-]C(=O)N(\N=C/c2ccccc2)C1=O)c1ccc(OC(F)F)cc1,ZINC03868311
Cc1cc(OCC(=O)N\N=C\c2cccnc2)ccc1Br,ZINC00512463
COc1ccc(NC(=O)COC(=O)c2ccc(Cl)cc2)cc1,ZINC01943562
CC(Nc1ccccn1)N1N=C(OC1=S)c1ccccc1O,ZINC03861866
Oc1ccc(cc1)N1CCN(CC1)C(=O)c1ccc2ncsc2c1,ZINC03338687
Cc1cccc(C)c1NC(=S)NNC(=O)c1ccccc1Cl,ZINC00067671
CCOc1ccc(cc1)\C=N/NS(=O)(=O)c1ccc(Br)cc1,ZINC00695326
COC(=O)N\N=C/c1c(C)c(C(=O)c2ccc(F)cc2)n2ccccc12,ZINC04464949
CN1N=C(C(=O)NCc2ccccc2Cl)c2ccccc2C1=O,ZINC03613092
Fc1ccc(cc1)S(=O)(=O)N1CCC(CC1)C(=O)Nc1ccccc1F,ZINC00712101
C\C(c1ccc(N)cc1)=N/NC(=O)c1ccccc1I,ZINC04018187
CN(C)c1ccc(cc1)C(Nc1nccs1)c1ccc(O)cc1O,ZINC00576910
Cc1ccc(\C=N/NC(=O)COc2ccccc2Cl)c(O)c1,ZINC03912738
COc1ccc(cc1)C1=C\C(=N\c2nnc(C)s2)c2cc(O)ccc2O1,ZINC04443157
COc1ccccc1NC(=O)C(C)Sc1nc2ccc(Cl)cc2[nH]1,ZINC03867967
CN(C)S(=O)(=O)c1ccc(cc1)C(=O)Nc1ccc(Cl)cc1,ZINC00446055
COc1ccc2c(CC(=O)NNC(=O)c3cccc(Cl)c3)coc2c1,ZINC03555031
Cc1ccccc1COc1ccc(cc1)\C=N/NC(N)=S,ZINC00478816
COc1ccc(c(OC)c1)-c1csc(NC(=O)c2ccco2)n1,ZINC00190189
Cc1[nH]c2ccccc2c1SCC(=O)Nc1ccc(F)cc1,ZINC02718325
Cc1ccc(cc1)\C=C1\SC(Nc2cccc(O)c2)=NC1=O,ZINC03857104
Cc1nc(Nc2ccccc2Cl)sc1C(=O)Nc1ccccc1,ZINC00310600
Nc1cc(ccc1Oc1ccc(Cl)cc1)S(=O)(=O)N1CCCCC1,ZINC03886656
Cc1cccc(c1)-c1nnc([S-])n1\[NH+]=C\C=C\c1ccco1,ZINC02222605
Cc1ccc(cc1)C(=O)CSc1nc2nc3ccccc3c2n[nH]1,ZINC01277887
COc1ccc(\C=N/NC(=O)CNC(=O)c2ccco2)cc1Cl,ZINC03977485
C\C=C(/NNC(=O)c1ccccc1Br)c1ccccc1O,ZINC03852766
COc1ccc(cc1)\C=N\N=C1/C(=O)Nc2ccc(Br)cc12,ZINC03969942
CC(NC(=O)C(\C#N)=C/c1cc(Br)ccc1O)c1ccccc1,ZINC03867112
Brc1ccc(\C=N/NC(=O)CNC(=O)c2ccc3OCOc3c2)o1,ZINC03993017
O=S(=O)(N1CCN(CC1)C(=S)NCc1ccccc1)c1ccccc1,ZINC03328129
C\C(Cn1nnc2ccccc12)=N/NC(=O)c1cccc(Br)c1,ZINC03983127
O=C(CSc1nc2ccccc2[nH]1)Nc1nc2ccccc2s1,ZINC00051752
CC(N(c1ccccc1)S(C)(=O)=O)C(=O)Nc1ccc(Cl)cc1,ZINC01137967
COC(=O)c1ccc(NC(=S)NCc2ccc(F)cc2)cc1,ZINC00612535
COc1ccc(NC(=O)C(C)OC(=O)c2cccc(Cl)c2)cc1,ZINC01922306
COc1ccccc1NC(=O)C(C)OC(=O)c1cccc(Br)c1,ZINC03511235
COc1ccccc1NC(=S)N\N=C\c1cccc(C)n1,ZINC01644163
CCOc1ccc(cc1)N1C(=O)CC(Sc2ccccc2N)C1=O,ZINC00410277
COc1ccc(Cl)cc1NC(=O)c1cc(on1)-c1ccco1,ZINC02465632
COc1cccc(c1)N1CC(CC1=O)C(=O)Nc1ccc(F)cc1,ZINC00615513
Cc1cc(\C=N\NC(=O)c2ccsc2)c(C)n1-c1cnccn1,ZINC04109960
CCc1ccc(cc1)C1=CSc2nnc(-c3ccco3)n2N1,ZINC02618415
Cc1ccn2cc(CCNS(=O)(=O)c3ccc(F)cc3)nc2c1,ZINC04248495
CN(C)c1cccc(c1)C(=O)OCC(=O)Nc1ccc(Cl)cn1,ZINC03329894
COc1cc(NC(=O)c2cc(on2)-c2ccco2)c(OC)cc1Cl,ZINC03908425
Clc1ccccc1CN1C(=O)NC(=O)\C(=C/N2CCc3ccccc3C2)C1=O,ZINC01129826
CC(C)C(NC(=O)c1cccc(Br)c1)c1nc2ccccc2[nH]1,ZINC03867163
COc1ccc2c(CC(=O)OCC(=O)Nc3ccc(F)cc3)coc2c1,ZINC03419577
Sc1nnc(COc2ccccc2)n1\N=C/c1c[nH]c2ccccc12,ZINC03889038
Cc1ccccc1N1C(=S)NC(=O)\C(=C/c2ccccc2O)C1=O,ZINC03666871
CC1(NC(=O)N(CC(=O)Nc2ccccc2)C1=O)c1ccc(Cl)cc1,ZINC01754767
Cn1c(SCC(=O)Nc2ccc3OCOc3c2)nnc1-c1ccccc1F,ZINC03410272
CCc1ccccc1NC(=O)CN1C=Nc2ccc(Cl)cc2C1=O,ZINC00389233
Cc1ccccc1\C=N\NC(=O)CNc1ccccc1Cl,ZINC00583751
Cc1ccccc1CNc1ccc(cc1)-c1nn2c(C)nnc2s1,ZINC00360604
Clc1cccc(c1)N1[N-]C(=O)\C(=C\C=C\c2ccco2)C1=O,ZINC03858272
CN1N=C(CC(=O)Nc2ccc(Cl)cc2C)c2ccccc2C1=O,ZINC00977413
COc1cc(cc(Cl)c1O)\C=C1\S\C(NC1=O)=N\c1ccccc1,ZINC03971752
COc1ccc(cc1)C(=O)CCC(=O)Nc1ccc(Cl)cc1,ZINC00452729
Cc1ccc2nc(O)c3cc(sc3c2c1)C(=O)NCc1ccco1,ZINC00269912
Brc1ccccc1NC(=O)CC1Sc2ccccc2NC1=O,ZINC02861584
COc1ccc(\C=N\c2ccccc2C2=NNC(=S)[N-]C2=O)cc1OC,ZINC03189765
CCc1nnc([N-]C(=O)c2cc(nc3ccccc23)-c2ccco2)s1,ZINC02625850
Clc1ccc(cc1)N1CC(CC1=O)C(=O)Nc1ccccc1,ZINC00282625
Cc1ccc2[nH]c(SCC(=O)NC(=O)c3cccn3C)nc2c1,ZINC04623026
COc1cccc(NC(=O)COC(=O)c2ccc3ncsc3c2)c1,ZINC03326054
Clc1ccc(NC2=NN=C(Cc3ccccc3)C(=O)N2)cc1,ZINC02718712
CC(C)NC(=O)c1ccc(cc1)N1C(=S)[N-]c2ccccc2C1=O,ZINC00425377
CC(C)(Oc1ccc(Cl)cc1)C(=O)Nc1ccc2nccnc2c1,ZINC00131550
S=C(NCCc1ccccc1)N\N=C\c1ccc2OCCOc2c1,ZINC02632149
Brc1ccc2[nH]cc(\C=N/NC(=O)c3ccc4OCOc4c3)c2c1,ZINC01208530
CC(=O)Nc1ccc(Nc2ncnc3scc(-c4ccccc4)c23)cc1,ZINC01155329
CC(NS(=O)(=O)c1cc(C)ccc1C)C(=O)Nc1ccc(F)cc1,ZINC00630599
OCC\N=C\C1C(=O)N(c2ccccc12)c1c(Cl)cccc1Cl,ZINC04094955
CC(=O)Nc1cccc(c1)C(=O)OCCOc1ccccc1Cl,ZINC03461478
Cc1cccc(NC2=NN=C(Cc3ccc(Cl)cc3)C(=O)N2)c1,ZINC02718956
Fc1ccccc1\C=C1/SC(=O)N(CC(=O)Nc2ccccc2)C1=O,ZINC01744839
Clc1ccc(NC(=O)c2ccco2)c(c1)C(=O)NCC=C,ZINC02835604
Cc1cccc(NC(=O)COC(=O)c2cccnc2Cl)c1C,ZINC03397100
Clc1ccc(cc1NC(=O)CN1CCCc2ccccc12)N(=O)=O,ZINC02625991
CN1C(=O)C=C(NCc2ccco2)N(Cc2ccc(F)cc2F)C1=O,ZINC01495383
Clc1cccc(NC(=O)CC2Nc3ccccc3NC2=O)c1,ZINC00083235
CC(C)N1C(=O)Nc2ccccc2\C1=N/C(=O)Nc1ccccc1F,ZINC04317648
Cn1c(SCC(=O)Nc2cccnc2)nnc1-c1ccccc1F,ZINC03867302
Cc1ccccc1N1C([S-])=NC(=O)/C(=C\C=C/c2ccco2)C1=O,ZINC03857530
CSc1cccc(NC(=O)CSc2nnc(-c3ccco3)n2C)c1,ZINC02856099
Clc1ccccc1\C=N\NC(=O)CNc1ccc2OCOc2c1,ZINC00459396
Nc1nnc(SCc2ccccc2)n1Cc1cc(Cl)cc2COCOc12,ZINC01922748
CC(OC(=O)c1ccccc1F)C(=O)Nc1ccc(Cl)cn1,ZINC03394392
Fc1cccc(N\C=C(/C#N)c2nc(cs2)-c2ccc3OCOc3c2)c1,ZINC01191128
COc1ccc(cc1)C(=O)NCC(=O)Nc1nc2ccccc2s1,ZINC04166183
Clc1ccccc1NC(=O)CSc1nc2ncccc2[nH]1,ZINC00115906
CCOc1ccccc1Nc1nc(cs1)-c1c(C)nc2ncccn12,ZINC00714089
COc1ccc(cc1)C(=O)n1nc(nc1N)-c1ccc(Cl)cc1,ZINC00350130
Ic1ccc(NC(=O)C2CN(C(=O)C2)c2ccccc2)cc1,ZINC01107895
Cc1ccc(NC(=O)C2=NN(Cc3ccccc3)C(=O)C=C2)cc1Cl,ZINC03518709
CCCN1N=C(C(=O)Nc2ccc(F)cc2)c2ccccc2C1=O,ZINC03537184
CC(C)NC(=O)c1ccc2C(=O)N(Cc3ccco3)C(=S)[N-]c2c1,ZINC00425018
OC1(C(=O)N(CC=C)c2ccc(Cl)cc12)c1c[nH]c2ccccc12,ZINC02214825
COc1ccc2nc(NC(=O)c3ccccc3SC)sc2c1,ZINC03479263
ClCC(=O)Nc1ccccc1C(=O)Nc1ccc2OCOc2c1,ZINC03277977
COc1ccc(cc1)C(=O)[N-]c1nnc(s1)-c1ccc(C)cc1,ZINC00043141
CC(Oc1cccc(Cl)c1)C(=O)N\N=C\c1ccccc1O,ZINC02839185
CCOc1ccccc1NC(=O)c1cc2ncc(Br)cn2n1,ZINC02794552
Cc1cc(NC(=O)COC(=O)c2ccc3OCOc3c2)ccc1Br,ZINC03437058
CC(C(=O)Nc1nnc(C)s1)c1ccc(c(F)c1)-c1ccccc1,ZINC00385409
C\C(=N\NC(=O)CSc1nc2ccccc2o1)c1ccco1,ZINC00535397
COc1cccc(\C=N/NC(=O)CNc2ccccc2Cl)c1,ZINC00583662
CN(C)c1ccc(cc1)\C=N\OC(=O)Nc1ccccc1Cl,ZINC00315517
Cc1nnc(SCC(=O)Nc2ccccc2Oc2ccccc2)s1,ZINC00643453
Cc1c(C=O)c2ccccc2n1CC(=O)Nc1ccc(F)cc1,ZINC00305442
CN(c1ccc(O)cc1)C1=NC(=O)/C(S1)=C\c1ccccc1,ZINC03859059
Fc1ccc(NC(=O)COC(=O)Cn2cnc3ccccc23)cc1F,ZINC03866827
CN(C)c1ccc(NC(=O)CN2C(=O)Oc3cc(Cl)ccc23)cc1,ZINC02927632
COc1ccc(cc1)N1C(=S)SC(C(=O)NCc2cccnc2)=C1N,ZINC01480004
CCOC(=O)CNc1cc2C(=O)c3ccccc3-c2cc1Br,ZINC01724487
Fc1ccccc1N1C(=O)NC(=O)\C(=C\c2ccc(OCC=C)cc2)C1=O,ZINC03854617
COc1ccccc1-c1cc([nH]n1)C(=O)N\N=C/c1cccs1,ZINC03891999
COc1ccc(cc1)-c1cc(no1)C(=O)NCc1ccc(Cl)cc1,ZINC00423633
COc1ccc(NC(C)=O)cc1NC(=O)c1ccccc1C(F)(F)F,ZINC03428075
COc1ccc(NC(=O)CCC2=NC(=O)c3ccccc3N2)cc1Cl,ZINC03868445
FC(F)Oc1ccccc1NC(=O)COC(=O)c1cc2ccccc2o1,ZINC04332154
CCOC(=O)c1csc(n1)-n1nc(cc1N)-c1ccccc1,ZINC01415846
Clc1ccccc1NC(=O)CCSc1nnc(o1)-c1ccco1,ZINC00804768
COC(=O)CC1SC(=O)N\C1=N/c1ccc(cc1)-c1ccccc1,ZINC01470561
CCC(=O)[N-]S(=O)(=O)c1cccnc1Nc1ccc(Cl)cc1,ZINC00481390
CC(=O)c1cccc(OCC(=O)Nc2ccccc2OC(F)F)c1,ZINC03519531
NN1C(=O)c2c(N=C1SCc1ccccc1)sc1CCCCc21,ZINC00383378
COc1ccc2N=C([O-])/C(=N\NC(=O)Cc3cccs3)c2c1,ZINC02656950
Cc1ccc(F)cc1NC(=O)COC(=O)c1ccc2ccccc2n1,ZINC03513607
COc1ccc(Cl)cc1S(=O)(=O)NCC1COc2ccccc2O1,ZINC02913843
Cc1c(Cl)cccc1NCC(=O)N\N=C\c1ccccc1O,ZINC00583511
CN1C(=O)\C(S\C1=N/c1ccc(Cl)cc1)=C/c1cccc(O)c1,ZINC03972890
COc1ccccc1NC(=O)C(C)Sc1ncnc2sccc12,ZINC03516282
CCOc1ccc(NC(=S)NCc2cccnc2)cc1,ZINC04361564
COc1ccc(NC(=O)C(C)OC(=O)c2ccc(Br)cc2)cc1,ZINC01982766
Cc1ccccc1SCC(=O)OCC(=O)Nc1ccc(Cl)cn1,ZINC04415428
OCCN(CCO)c1cc([o+]c2ccccc12)-c1ccc(Cl)cc1,ZINC01933014
Cc1onc(-c2ccccc2Cl)c1C(=O)NCc1cccnc1,ZINC00304200
Clc1ccccc1NC(=O)CN1C(=O)NC2(CCc3ccccc23)C1=O,ZINC03288551
Cc1nc2ccc(NC(=S)NNc3ccccc3)cc2nc1C,ZINC00302902
COC(=O)c1cccc(NC(=O)c2ccccc2I)c1,ZINC03559168
Brc1ccccc1C(=O)NCCC(=O)NNCc1ccco1,ZINC02711764
COc1ccc(C)cc1Nc1nnc(s1)-c1ccccc1N,ZINC01660567
C=C(NNC(=O)CSc1nc2ccccc2s1)c1ccco1,ZINC02324702
Ic1ccc(NCC(=O)N\N=C/c2ccc3OCOc3c2)cc1,ZINC01226052
CC(=O)c1cccc(NC2CC(=O)N(C2=O)c2ccccc2Cl)c1,ZINC02649536
Brc1cccc(c1)C(=O)NCC(=O)N\N=C/c1ccc2OCOc2c1,ZINC03993205
Cc1nnc(NC(=O)C(Sc2ccccc2)c2ccccc2)s1,ZINC00291593
COC(=O)c1ccc(cc1)\C=N\Nc1nc2ccccc2s1,ZINC04178765
COc1ccc2c3N=CN(\N=C\c4ccc(F)cc4)C(=O)c3[nH]c2c1,ZINC00528121
CC(OC(=O)c1ccc(F)cc1)C(=O)Nc1ccc2OCCOc2c1,ZINC03510706
Cc1ccc(o1)-c1csc([N-]C(=O)c2nc3ccccc3s2)n1,ZINC04134626
COc1ccc(cc1)\C=C1\N=C(NC1=O)c1ccc(Br)cc1,ZINC03969759
Cc1nnc(SCC(=O)Nc2ccc(Cl)cc2)n1-c1ccccc1,ZINC00897327
Fc1cccc(NC(=O)c2ccc(NC(=O)C3CCCO3)cc2)c1,ZINC00201230
COc1ccc(Cl)cc1NC(=O)C(C)OC(=O)c1ccncc1,ZINC03509098
COc1ccc(CC(=O)NNC(=S)NCc2ccccc2)cc1,ZINC03569936
Cc1ccc(cc1)C(=O)N\C(=C/Cl)S(=O)(=O)c1ccc(C)cc1,ZINC03856432
Brc1cccc(c1)C1=N/C(=C\c2ccc3OCOc3c2)C(=O)N1,ZINC03859067
Cc1ccc(cc1Cl)N1C(=O)NC(=O)\C(=C/c2cccc(OCC#C)c2)C1=O,ZINC02990052
CC(OC(=O)c1ccc2OCOc2c1)C(=O)Nc1ccccc1C(F)(F)F,ZINC01288106
Clc1ccc(NC(=O)CC2Nc3ccccc3NC2=O)cc1,ZINC00083012
O=C(NCc1ccccc1)c1nc2c3c4CCCc4sc3ncn2n1,ZINC02346611
Cc1ccc(cc1)S(=O)(=O)N\N=C/c1ccc(I)cc1,ZINC01215755
Cc1ccccc1NC(=O)CSc1nnc(o1)-c1cccs1,ZINC03475057
COc1ccc(NC(=O)COC(=O)c2ccccc2Cl)cc1,ZINC01943561
Brc1ccc(cc1)N1CC(CC1=O)C(=O)Nc1ccccn1,ZINC01030941
Cc1cccc(c1)C(=O)OCC(=O)Nc1ccc(I)cc1,ZINC03443043
COc1ccc(cc1)C(=O)NCCc1nc(cs1)-c1ccc(O)cc1,ZINC01415030
CCOc1ccc(cc1)\C=C1\C(=O)[N-]N(C1=O)c1ccc(Br)cc1,ZINC03854546
Cc1nc2ccc(NC(=O)CCc3c[nH]c4ccccc34)cc2s1,ZINC03438689
COc1ccc(cc1)N1C(=S)NC(=O)\C(=C\c2cccn2C)C1=O,ZINC03863331
Clc1ccccc1NC(=O)COC(=O)c1ccc2OCCOc2c1,ZINC03459918
COc1ccc(cc1)\C=N/NS(=O)(=O)c1ccc(Br)cc1,ZINC03866791
Cc1cccn2cc(CCNS(=O)(=O)c3ccc(Cl)cc3)nc12,ZINC03854268
CN(C)c1ccc(NC2CC(=O)N(C2=O)c2ccc(F)cc2)cc1,ZINC04317738
COc1ccc2C(Nc3nc(cs3)-c3ccccc3)OC(=O)c2c1OC,ZINC01204134
CCC(CO)\N=C\C1C(=O)N(C(=O)c2ccccc12)c1ccccc1F,ZINC03854983
Cc1cccc(NC(=O)CSCC(=O)Nc2ccccc2F)c1,ZINC00581442
O=C(Nc1nccs1)c1ccc(CSc2ncccn2)cc1,ZINC02709824
Oc1cccc(c1)\C=C1/C(=C)NN(C1=O)c1ccc(Br)cc1,ZINC03852935
CCOc1ccccc1NC(=O)COC(=O)c1ccc(Br)o1,ZINC03470404
COCCNC(=O)c1cc(nc2ccc(Br)cc12)-c1cccnc1,ZINC03853532
CC(C)Oc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1,ZINC00144466
COc1cccc(c1)N1CC(CC1=O)NC(=O)c1c(F)cccc1Cl,ZINC04497097
CCc1nc(SCC(=O)Nc2cccc(O)c2)c2ccccc2n1,ZINC01332561
COC(=O)c1ccc(NC(=O)C(\Cl)=C\c2ccccc2)cc1,ZINC00456938
Cc1ccc(NC(=O)COC(=O)COc2ccccc2)c(Cl)c1,ZINC03388816
CCC(=O)Nc1ccc(cc1)-c1csc(NCc2ccco2)n1,ZINC03350628
Clc1ccc(NC(=O)COC(=O)c2cc3ccccc3o2)nc1,ZINC04362354
Clc1ccc(OCC(=O)Nc2ccc3OC(=O)C=Cc3c2)cc1,ZINC00567093
OC(C1CCN(CC1)c1nncc2ccccc12)c1cccs1,ZINC00008811
CSCc1c(oc2ccccc12)C(=O)Nc1ccc(NC(C)=O)cc1,ZINC03343677
CCN1N=C(C(=O)Nc2nc(cs2)-c2cccs2)c2ccccc2C1=O,ZINC03287831
Cc1cccc(c1)-c1nnc([N-]C(=O)c2ccccc2F)s1,ZINC00987481
CCC1(NC(=O)N(CCOc2ccc(F)cc2)C1=O)c1ccccc1,ZINC02616237
CCOc1ccccc1\C=C1\C(=O)NC(=S)N(C1=O)c1ccccc1,ZINC03854499
Clc1ccccc1CCNC(=O)c1ccc2SCC(=O)Nc2c1,ZINC00217023
COC(=O)c1ccc(NC(=O)\C=C/c2ccc(Br)cc2)cc1,ZINC03858504
CC(OC(=O)c1ccc2OCCOc2c1)C(=O)Nc1ccc(Cl)cc1,ZINC03459840
Cc1cc(Cl)ccc1NC(=O)CC1Nc2ccccc2NC1=O,ZINC00092697
COc1ccc(cc1Br)C1=CNn2cnnc2N1c1ccccc1,ZINC01020561
COc1ccccc1C\C(N)=N\OC(=O)c1ccccc1Br,ZINC03969268
CC(Nc1cccc(Br)c1)C(=O)N\N=C\c1cccnc1,ZINC02748170
COc1ccc(cc1OC)-c1c(O)nn2C(=S)NC(=Nc12)c1ccccc1,ZINC01658527
CSc1ccccc1NC(=O)c1cc(on1)-c1ccccc1O,ZINC03908585
