,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
3384,CHEMBL572028,630,nM,CN(\N=N\c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C(=O)OCOC(C)=O,6.200659451,428.0999807,9,1,4.6145,TRUE
3385,CHEMBL2179124,631,nM,Fc1ccc(cc1)-c1nc([nH]c1-c1ccnc2[nH]ccc12)-c1ccccc1,6.199970641,354.1280747,2,2,5.4261,TRUE
3387,CHEMBL3092306,635,nM,C[NH+](C)CCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,6.197226275,488.1738946,7,3,4.0167,TRUE
3388,CHEMBL1242666,638,nM,CC(C)n1nc(-c2ccc3c(C=O)c[nH]c3c2)c2c(N)ncnc12,6.195179321,320.1385591,6,2,2.9502,TRUE
3389,CHEMBL3237929,638,nM,COc1cc(ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)CC[NH+](C)C)c2)n1)N1CC[NH+](C)CC1,6.195179321,539.2411656,9,2,4.3165,TRUE
3390,CHEMBL1683956,640,nM,CCc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C,6.193820026,371.1200681,4,1,5.46252,TRUE
3391,CHEMBL246492,640,nM,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6COCC[NH2+]6)c45)ccc23)c1,6.193820026,487.2132013,9,2,3.515,TRUE
3392,CHEMBL4226562,641,nM,COc1cc(ccc1Nc1ncc(Cl)c(NC(=O)Nc2cccc(NC(=O)C=C)c2)n1)N1CCC(CC1)[NH+]1CCOCC1,6.19314197,606.2469793,9,4,4.9517,TRUE
3393,CHEMBL4095253,642.7,nM,Nc1ncnc2n(C[C@H]3CCCN3S(=O)(=O)C=C)cc(-c3ccc4OCOc4c3)c12,6.1919917,427.1314252,8,1,2.3469,TRUE
3394,CHEMBL4227278,644,nM,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(cc3)N3CCOCC3)n2)c1,6.191114133,459.2018877,7,4,3.8253,TRUE
3396,CHEMBL4208712,650,nM,COc1cc(ccc1Nc1ncc(Cl)c(Oc2ccccc2NC(=O)CCO)n1)N1CC[NH+](C)CC1,6.187086643,512.1938811,9,3,3.7472,TRUE
3397,CHEMBL3894076,650,nM,COc1cccc(Nc2ncc(Br)c(Oc3cccc(NC(=O)C=C)c3)n2)c1OC,6.187086643,470.0589672,7,2,4.9167,TRUE
3398,CHEMBL184750,650,nM,Cc1cc2c(Nc3ccc(C)c(O)c3)ncnn2c1,6.187086643,254.1167611,5,2,2.79534,TRUE
3399,CHEMBL3263373,650,nM,Cc1ccc(cc1C)C1=NN(C(C1)c1ccc2ccccc2c1)C1=NC(CS1)c1ccccc1,6.187086643,461.1925689,4,0,7.45184,TRUE
3401,CHEMBL323630,650,nM,C[NH+](C)C\C=C\C(=O)Nc1ccc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,6.187086643,423.1262161,5,2,4.69888,TRUE
3402,CHEMBL3903707,650,nM,COc1ccccc1Nc1ncc(Cl)c(Nc2cccc(NC(=O)C=C)c2)n1,6.187086643,395.1149025,6,3,4.7503,TRUE
3403,CHEMBL3919271,650,nM,COc1cccc(Nc2ncc(Cl)c(Nc3cccc(NC(=O)C=C)c3)n2)c1OC,6.187086643,425.1254672,7,3,4.7589,TRUE
3404,CHEMBL3975588,650,nM,COc1ccccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)C=C)c2)n1,6.187086643,396.0989181,6,2,4.799,TRUE
3405,CHEMBL1934621,650,nM,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccccc1,6.187086643,443.1200681,4,1,6.29992,TRUE
3406,CHEMBL3218424,650,nM,OB(O)c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,6.187086643,299.0632847,5,3,1.7066,TRUE
3407,CHEMBL3671537,652,nM,CC[NH+](CC)CCNC(=O)COc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C,6.185752404,558.1390291,7,3,4.2363,TRUE
3408,CHEMBL77342,657,nM,Cc1cc2cc(Nc3ccnc4cc(sc34)-c3ccc(C[NH2+]CCOCCO)cc3)ccc2[nH]1,6.18243463,472.1932971,6,4,5.59512,TRUE
3409,CHEMBL1645469,660,nM,Cc1ccccc1Nc1ncnn2ccc(CN3CCC([NH3+])CC3)c12,6.180456064,336.2062448,6,2,2.70442,TRUE
3410,CHEMBL91428,660,nM,COc1cc2ncnc(Nc3cc4ccccc4cn3)c2cc1OC,6.180456064,332.1273258,6,1,3.9388,TRUE
3411,CHEMBL2325087,660,nM,NC(=S)N1N=C(CC1c1ccc2ccccc2c1)c1ccc(Cl)c(Cl)c1,6.180456064,399.0363738,2,1,5.5413,TRUE
3414,CHEMBL251315,662,nM,CCOc1cc2ncnc(C#C[C@](C)(Cc3ccccc3)[NH+]3CCC(CC3)C([O-])=O)c2cc1OCC,6.179142011,487.2471065,6,1,4.5767,TRUE
3415,CHEMBL1242026,663,nM,CC(C)n1nc(-c2ccc(C)c(O)c2)c2c(N)ncnc12,6.178486472,283.1433102,6,2,2.67042,TRUE
3419,CHEMBL1645465,670,nM,C#Cc1cccc(Nc2ncnn3ccc(COC[C@@H]4C[NH2+]CCO4)c23)c1,6.173925197,363.1695249,7,2,1.9592,TRUE
3420,CHEMBL589560,670,nM,Oc1c(Cl)cccc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,6.173925197,400.0812401,2,2,5.5839,TRUE
3421,CHEMBL111434,670,nM,CN1C(=O)C(=Cc2cnc(Nc3cccc(Br)c3)nc12)c1c(Cl)cccc1Cl,6.173925197,473.9649785,5,1,5.8084,TRUE
3422,CHEMBL542887,670,nM,C[NH+](C)CC(=C)C(=O)c1ccc(OCc2ccccc2)c(O)c1,6.173925197,347.1288212,4,1,3.6935,TRUE
3423,CHEMBL382041,671,nM,COCCOc1cc(OC2CCOCC2)c2c(Nc3ccc(F)c(Cl)c3)ncnc2c1,6.17327748,447.1361121,7,1,4.7489,TRUE
3424,CHEMBL4213609,675,nM,COc1nn(C)cc1Nc1nc(nc2[nH]cnc12)N1C[C@@H](F)[C@@H](C1)NC(=O)C=C,6.170696227,401.1723991,9,3,0.6675,TRUE
3425,CHEMBL208240,676,nM,Cc1cccc(Nc2ncnc3ccc(NC(=O)NCCCl)cc23)c1,6.170053304,355.1199879,4,3,4.04212,TRUE
3427,CHEMBL2325090,680,nM,Clc1ccc(cc1)C1=NN(C(C1)c1cccc2ccccc12)c1ccccc1,6.167491087,382.1236763,2,0,6.8489,TRUE
3428,CHEMBL3234755,680,nM,C[NH+]1CCN(CC1)Cc1ccc(NC(=O)c2cccc(NC(=O)c3cnc4[nH]ccc4c3)c2)cc1C(F)(F)F,6.167491087,536.2147588,5,3,4.8337,TRUE
3429,CHEMBL3741762,680,nM,C[NH+](C)C\C=C\C(=O)Nc1cccc(Nc2nc(N\N=C\c3ccc(F)cc3)ncc2Cl)c1,6.167491087,467.1636643,7,3,4.515,TRUE
3430,CHEMBL291701,684,nM,Fc1ccc2c(Nc3cccc(Br)c3)ncnc2n1,6.164943898,317.9916366,4,1,3.67,TRUE
3431,CHEMBL54475,688,nM,Brc1cccc(Nc2ncnc3ncccc23)c1,6.162411562,300.0010584,4,1,3.5309,TRUE
3432,CHEMBL1221700,689,nM,CC(C)(C)c1ccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)cc1,6.161780778,346.1793613,4,2,4.7954,TRUE
3433,CHEMBL245277,690,nM,C[C@@H](c1ccccc1)n1ncc2cc(Nc3ncnn4ccc(COC[C@@H]5C[NH2+]CCO5)c34)ccc12,6.161150909,483.2382732,9,2,3.9369,TRUE
3434,CHEMBL436511,690,nM,C[NH+]1CCC(CC1)Oc1cccc2ncnc(Nc3ccc(OCc4cnccn4)c(Cl)c3)c12,6.161150909,476.1727517,8,1,4.8688,TRUE
3435,CHEMBL3758585,690,nM,COc1cc2c(Nc3ccc(NC(=O)c4ccc(C)cc4)cc3)ncnc2cc1OCCCN1CC[NH+](C)CC1,6.161150909,540.284889,8,2,4.95902,TRUE
3436,CHEMBL6246,690,nM,Oc1cc2C(=O)Oc3c(O)c(O)cc4C(=O)Oc(c1O)c2-c34,6.161150909,302.0062672,8,4,1.3128,TRUE
3438,CHEMBL2437461,691,nM,C[NH+]1CCN(CC1)c1ccc(Nc2ncc3N=CC(=O)N(c4ccc(NC(=O)C=C)cc4)c3n2)cc1,6.160521953,482.2178721,9,2,2.7956,TRUE
3440,CHEMBL3671564,698,nM,Fc1cc(Br)ccc1Nc1ncnc2cc(OCCNC(=O)N3CC[NH2+]CC3)c(NC(=O)C=C)cc12,6.156144577,557.118628,7,4,3.3931,TRUE
3442,CHEMBL195204,698,nM,C[NH+]1CCC(CC1)Oc1cccc2ncnc(Nc3ccc(OCc4cscn4)c(Cl)c3)c12,6.156144577,481.1339237,8,1,5.5353,TRUE
3443,CHEMBL3903249,698.3,nM,C[NH+](C)C\C=C\C(=O)N1CCC[C@H]1Cn1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc12,6.155957958,497.2539232,8,1,3.9766,TRUE
3445,CHEMBL7939,700,nM,Fc1ccc(Nc2cc3C(=O)NC(=O)c3cc2Nc2ccc(F)cc2)cc1,6.15490196,365.0975831,4,3,4.3356,TRUE
3446,CHEMBL2070048,700,nM,CCOc1ccc2cc(ccc2c1)-c1nn(C(C)C)c2ncnc(N)c12,6.15490196,383.151288,6,1,4.6301,TRUE
3447,CHEMBL1830271,700,nM,NC(=S)N\N=C(\C=C\c1ccc(OCc2ccccc2)cc1)c1ccccc1,6.15490196,387.1405333,3,2,4.5163,TRUE
3449,CHEMBL67027,700,nM,COc1ccc(cc1OC)\C=C(/C#N)c1cccnc1,6.15490196,266.1055277,4,0,3.16298,TRUE
3450,CHEMBL552634,700,nM,CN(C)C(=O)c1ccc(cc1)S(=O)(=O)Oc1ccc(cc1)C(=O)C(=C)C[NH+](C)C,6.15490196,452.1172706,6,0,2.8784,TRUE
3451,CHEMBL53898,700,nM,Oc1ccc(cc1O)\C=C(/C#N)C(=O)NCCCc1ccccc1,6.15490196,322.1317424,4,3,2.75378,TRUE
3452,CHEMBL367442,700,nM,Nc1ncnc2n(cc(-c3ccccc3)c12)-c1ccc(CO)cc1,6.15490196,316.1324111,5,2,3.162,TRUE
3453,CHEMBL521887,700,nM,C[NH+]1CCN(CC1)Cc1ccc(cc1)C(=O)Nc1ccc(C)c(c1)-c1ccc2ccncc2c1,6.15490196,450.2419616,4,1,5.20992,TRUE
3454,CHEMBL3604925,700,nM,CCC(=O)Nc1ccc(Oc2nc(Nc3cc(C)[nH]n3)cc(n2)N2CCN(C)CC2)cc1,6.15490196,436.2335221,8,3,3.14432,TRUE
3455,CHEMBL144760,700,nM,Oc1ccc(cc1O)\C=C(/C#N)C(=O)NCCCCCCNC(=O)C(\C#N)=C\c1ccc(O)c(O)c1,6.15490196,490.1852346,8,6,2.81596,TRUE
3456,CHEMBL176309,700,nM,Nc1ncnc2n(cc(-c3cccc(Cl)c3)c12)-c1ccccc1,6.15490196,320.0828741,4,1,4.3231,TRUE
3457,CHEMBL144842,700,nM,Oc1ccc(cc1O)\C=C(/C#N)C(=O)NCCCCCNC(=O)C(\C#N)=C\c1ccc(O)c(O)c1,6.15490196,476.1695845,8,6,2.42586,TRUE
3458,CHEMBL242131,704,nM,C[NH+](C)C\C=C\C(=O)Nc1ccc2ncnc(Nc3ccc(Br)cc3F)c2c1,6.152427341,443.0757005,5,2,4.3313,TRUE
3459,CHEMBL3087209,708.5,nM,COc1cc(ccc1Nc1ncc2CN(Cc3ccccc3)C(=O)N(C3CCC(CC3)NC(=O)C=C)c2n1)N1CC[NH+](C)CC1,6.149660145,610.3379872,8,2,4.5362,TRUE
3460,CHEMBL213560,710,nM,Oc1ccc(cc1)\C=C1\N(CCc2ccccc2)C(=O)NC1=O,6.148741651,308.1160924,3,2,2.5276,TRUE
3461,CHEMBL2325098,710,nM,Brc1ccc(cc1)C1=NN(C(C1)c1ccc2ccccc2c1)c1ccccc1,6.148741651,426.0731607,2,0,6.958,TRUE
3462,CHEMBL3786647,710,nM,Cn1cc(Nc2nc(OC[C@H]3CN(C[C@@H]3CO)C(=O)C=C)c3c(Cl)c[nH]c3n2)cn1,6.148741651,431.1472652,8,3,1.7201,TRUE
3463,CHEMBL231885,710,nM,CC(=O)N1CCN(CC1)Cc1ccn2ncnc(Nc3ccc4n(Cc5cccc(F)c5)ncc4c3)c12,6.148741651,498.2291857,8,1,3.6741,TRUE
3464,CHEMBL4204566,713,nM,CC(C)n1cnc2c(Nc3cnn(C)c3)nc(nc12)N1C[C@H](F)[C@H](C1)NC(=O)C=C,6.14691047,413.2087846,9,2,1.7132,TRUE
3465,CHEMBL3939300,714,nM,CCC(=O)Nc1cc2c(Nc3ccc4n(Cc5cccnc5)ccc4c3)ncnc2cc1OC,6.146301788,452.196074,7,2,5.1285,TRUE
3466,CHEMBL4093535,715,nM,CCC(=O)N1CC[C@@H](C1)N1C(=O)N(Cc2cnc(Nc3ccc(N4CC[NH+](C)C(C)C4)c(C)c3)nc12)c1cc(OC)ccc1F,6.145693958,616.3285654,8,1,4.77412,TRUE
3467,CHEMBL3740907,720,nM,C[NH+](C)C\C=C\C(=O)Nc1cccc(Nc2nc(N\N=C(/C)c3ccc(F)cc3F)ncc2Cl)c1,6.142667504,499.1698925,7,3,5.0442,TRUE
3470,CHEMBL572031,720,nM,CN(\N=N\c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C(=O)OC=C,6.142667504,382.0945014,7,1,5.2374,TRUE
3471,CHEMBL4072392,720,nM,CC(=O)c1ccccc1N1C(=O)c2ccc(Cl)cc2N=C1c1ccccc1,6.142667504,374.0822054,4,0,4.9087,TRUE
3472,CHEMBL462162,720,nM,COc1cc(Nc2ncnc3[nH]ccc23)ccc1-c1nc2ccccc2s1,6.142667504,373.0997311,6,2,4.9868,TRUE
3473,CHEMBL1271950,720,nM,OC[C@@H](Nc1ncnc2sc3CCCCc3c12)c1ccccc1,6.142667504,325.1248832,5,2,3.7156,TRUE
3474,CHEMBL126996,720,nM,CCOc1cc2ncnc(Nc3cccc(c3)-c3cocn3)c2cc1OCC,6.142667504,376.1535405,7,1,4.8258,TRUE
3476,CHEMBL4066684,725.3,nM,CC1=CC(=O)N(N=C1C(=O)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1)c1ccc(F)cc1,6.139482323,473.1299458,6,2,4.74002,TRUE
3477,CHEMBL1257912,726,nM,CC(=O)Nc1ccc2Nc3n[nH]cc3N=C(c3ccccc3Cl)c2c1,6.139063379,351.0886877,4,3,4.2476,TRUE
3478,CHEMBL166766,730,nM,Nc1ncnc2n(cc(-c3ccccc3)c12)C1CCC1,6.13667714,264.1374965,4,1,3.4055,TRUE
3481,CHEMBL92006,730,nM,COc1cc2ncnc(\N=N\c3ccc(F)c(Cl)c3)c2cc1OC,6.13667714,346.0632815,6,0,4.8549,TRUE
3482,CHEMBL3797963,730.5,nM,COc1cc(ccc1Nc1ncc(SC)c(Oc2cccc(NC(=O)C=C)c2)n1)N1CCN(CC1)S(C)(=O)=O,6.13637978,570.1719101,10,2,3.9491,TRUE
3483,CHEMBL153409,732,nM,Brc1cccc(Nc2ncnc3c4cccnc4sc23)c1,6.135488919,355.9731294,5,1,4.7456,TRUE
3484,CHEMBL1242295,734,nM,Nc1ncnc2n(nc(-c3ccc4[nH]ccc4c3)c12)C1CCCC1,6.13430394,318.1592946,5,2,3.6719,TRUE
3485,CHEMBL1784637,736,nM,CNC(=O)c1ncc(C#Cc2cc(ccc2C)C(=O)Nc2ccc(CN3CC[NH+](CCO)CC3)c(c2)C(F)(F)F)n1C,6.133122186,582.2566236,7,3,2.86892,TRUE
3486,CHEMBL2216827,737,nM,CNC(=O)c1cc(Oc2ccc(Nc3ncc(F)c(Nc4cccc(NC(=O)C=C)c4)n3)cc2)ccn1,6.132532512,499.1768158,8,4,4.7743,TRUE
3487,CHEMBL2152252,739,nM,CNC(=O)c1nc(cnc1N)-c1ccc(Cl)c(c1)S(=O)(=O)[N-]c1cccc(F)c1F,6.131355562,453.0473944,6,3,2.8178,TRUE
3488,CHEMBL355019,740,nM,COC(=O)CN1CCC(C1)n1cc(-c2cccc(O)c2)c2c(N)ncnc12,6.13076828,367.1644395,8,2,1.8059,TRUE
3489,CHEMBL149512,740,nM,Brc1cccc(Nc2ncnc3c4ccccc4oc23)c1,6.13076828,339.000724,4,1,4.8821,TRUE
3490,CHEMBL152984,742,nM,Cn1c2ccccc2c2c(Nc3cccc(Br)c3)ncnc12,6.129596095,352.0323585,4,1,4.6276,TRUE
3491,CHEMBL3916141,747,nM,CCC(=O)Nc1cc2c(Nc3ccc(CCc4ccccc4)cc3)ncnc2cc1OC,6.126679398,426.2055761,5,2,5.5157,TRUE
3492,CHEMBL496,748.6,nM,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c([O-])c(Cl)cc(Cl)c1Cl,6.125750177,403.8498955,2,2,6.609,TRUE
3493,CHEMBL589589,750,nM,CC(C)c1ccc(NC(=O)c2ccc(cc2)N(CCCl)CCCl)cc1,6.124938737,378.1265687,2,1,5.3463,TRUE
3494,CHEMBL355269,750,nM,COc1cccc(c1)-c1cn(C2CC[NH+](CC2)CC(=O)N(C)C)c2ncnc(N)c12,6.124938737,408.2273741,7,1,2.4142,TRUE
3495,CHEMBL116547,750,nM,COc1cc(cc(CSCc2ccccc2)c1O)\C=C(/C#N)C(=O)c1ccc([O-])c(O)c1,6.124938737,447.1140438,7,3,5.03528,TRUE
3496,CHEMBL1242199,751,nM,Nc1ncnc2n(nc(-c3cc(O)cc(F)c3)c12)C1CCCC1,6.124360063,313.1338884,6,2,3.0353,TRUE
3497,CHEMBL4288648,751,nM,Oc1ccc(cc1)\N=C1/C(=O)Nc2ccc(cc12)S(=O)(=O)N1CCOCC1,6.124360063,387.0888916,6,2,1.486,TRUE
3498,CHEMBL4285894,752,nM,Cc1oc2ncnc(Nc3cccc(Br)c3)c2c1C([O-])=O,6.123782159,346.9905533,5,2,3.73552,TRUE
3499,CHEMBL4293134,754,nM,CCOc1ccc(Nc2cc(NC(=O)c3ccccc3)ncn2)cc1,6.122628654,334.1429758,5,2,3.8712,TRUE
3500,CHEMBL117710,756,nM,Brc1cccc(Oc2ncnc3ccccc23)c1,6.121478204,299.989825,3,0,4.1846,TRUE
3502,CHEMBL1242572,760,nM,Nc1ncnc2n(nc(-c3ccc4cn[nH]c4c3)c12)C1CCCC1,6.119186408,319.1545435,6,2,3.0669,TRUE
3503,CHEMBL3904787,763,nM,COC(=O)CNC(=O)c1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(OC)cc23)cc1,6.117475462,509.2274337,10,2,2.3859,TRUE
3504,CHEMBL1242289,768,nM,CCOc1ccc(cc1O)-c1nn(C2CCCC2)c2ncnc(N)c12,6.11463878,339.1695249,7,2,3.2949,TRUE
3505,CHEMBL3233766,770,nM,OCC[NH+]1CCN(CC1)CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,6.113509275,464.1197508,8,3,2.7758,TRUE
3506,CHEMBL570709,770,nM,CN(\N=N\c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C(=O)Oc1ccc(cc1)N(=O)=O,6.113509275,477.0952297,9,1,6.0645,TRUE
3507,CHEMBL2426278,770,nM,COc1cc(N2CC[NH+](C)CC2)c(NC(=O)C=C)cc1Nc1ncc(Cl)c(n1)-c1c[nH]c2ccccc12,6.113509275,517.1993008,7,3,4.9068,TRUE
3508,CHEMBL89940,770,nM,Nc1ccc2ncnc(Nc3ccccc3)c2c1,6.113509275,236.1061964,4,2,2.9556,TRUE
3509,CHEMBL1242750,775,nM,Nc1ncnc2n(nc(-c3ccc(F)c(O)c3)c12)C1CCCCCC1,6.110698297,341.1651885,6,2,3.8155,TRUE
3510,CHEMBL4276965,779,nM,COc1ccc(OC)c(Nc2cc(Nc3ccc(cc3)S(N)(=O)=O)ncn2)c1,6.108462542,401.1157751,8,3,2.6284,TRUE
3512,CHEMBL234580,780,nM,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCNCC(=O)C6)c45)ccc23)c1,6.107905397,484.2135356,9,2,2.9843,TRUE
3514,CHEMBL330668,780,nM,COc1cc2ncnc(Nc3cnc4ccccc4n3)c2cc1OC,6.107905397,333.1225747,7,1,3.3338,TRUE
3515,CHEMBL4077349,780,nM,Brc1ccc(cc1)C(=O)NN1C(=O)c2ccccc2N=C1c1ccccc1,6.107905397,419.0269388,4,1,4.2099,TRUE
3516,CHEMBL407534,780,nM,OCc1ccc(CO)c(\C=C\C([O-])=O)c1,6.107905397,208.0735589,3,3,0.769,TRUE
3517,CHEMBL263788,790,nM,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)\C=C\C[NH+](C)C,6.102372909,479.095687,6,2,4.67748,TRUE
3518,CHEMBL2070193,790,nM,Clc1cccc(Nc2ncnc3ccc(NCc4ccc5OCCOc5c4)cc23)c1,6.102372909,418.1196535,6,2,5.4101,TRUE
3519,CHEMBL326280,790,nM,COCC#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)c(cnc2cc1OC)C#N,6.102372909,464.0484025,6,2,4.20948,TRUE
3520,CHEMBL3741436,790,nM,C[NH+](C)C\C=C\C(=O)Nc1cccc(Nc2nc(N\N=C\c3ccccc3F)ncc2Cl)c1,6.102372909,467.1636643,7,3,4.515,TRUE
3521,CHEMBL2426280,790,nM,COc1cc(ccc1Nc1ncc(Cl)c(n1)-c1c[nH]c2ccccc12)N1CCN(CC1)C(C)=O,6.102372909,476.1727517,6,2,4.699,TRUE
3522,CHEMBL168285,790,nM,Nc1ncnc2n(cc(-c3ccccc3)c12)C1CCC(O)C1,6.102372909,294.1480612,5,2,2.7664,TRUE
3523,CHEMBL4287629,792,nM,[O-]C(=O)CCC(=O)Nc1cc(Nc2ccc(Cl)cc2)ncn1,6.101274818,320.067618,5,3,2.6769,TRUE
3524,CHEMBL588119,794.4,nM,CCCCCCCC[NH2+][C@H](C)[C@@H](O)c1ccc(SC(C)C)cc1,6.099960765,337.2439357,3,2,5.5591,TRUE
3525,CHEMBL3676350,796,nM,CC(=O)NCCOc1cc2ncnc(Nc3ccc(OCc4cccnc4)c(Cl)c3)c2cc1NC(=O)C=C,6.099086932,532.162581,8,3,4.6402,TRUE
3526,CHEMBL22978,797,nM,C[NH+]1CCC(O)(CC1)c1nc(-c2ccc(F)cc2)c(o1)-c1ccncc1,6.098541679,353.1539551,5,1,3.4559,TRUE
3527,CHEMBL3233761,799,nM,C[NH+](C)CCCC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,6.097453221,407.0982871,6,2,4.5077,TRUE
3528,CHEMBL428039,799.3,nM,CCOc1cc2ncnc(NC3=CC(=O)C(OC)=CC3=O)c2cc1NC(=O)\C=C\C[NH+](C)C,6.097290187,451.1855689,9,2,2.0627,TRUE
3529,CHEMBL4214496,800,nM,OCC(Cc1ccccc1)NC(=O)c1cc2cc(Cl)ccc2[nH]1,6.096910013,328.0978555,2,3,3.1547,TRUE
3530,CHEMBL3221551,800,nM,CCCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1,6.096910013,432.156433,7,2,5.161,TRUE
3531,CHEMBL78257,800,nM,NC(=C(C#N)C#N)C(\C#N)=C\c1cc(O)c([O-])c(O)c1,6.096910013,268.0596401,7,4,0.97034,TRUE
3532,CHEMBL122243,800,nM,Nc1ncnc2n(nc(-c3ccccc3)c12)-c1ccccc1,6.096910013,287.1170954,5,1,3.0647,TRUE
3533,CHEMBL514016,800,nM,Clc1ccc2c(Nc3ccc(c(Cl)c3)-c3nc4ccccc4s3)ncnc2c1,6.096910013,422.0159727,5,1,6.9569,TRUE
3534,CHEMBL2018749,800,nM,CCCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1,6.096910013,396.1797552,7,2,4.7392,TRUE
3535,CHEMBL201307,800,nM,COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCC[NH+]1CCC(CO)CC1,6.096910013,580.2268028,10,3,4.632,TRUE
3536,CHEMBL175409,800,nM,COc1cccc(c1)-c1cn(-c2ccc(CC(=O)NCCO)cc2)c2ncnc(N)c12,6.096910013,417.1800896,7,3,2.3293,TRUE
3537,CHEMBL262276,800,nM,COC(=O)CN1CCC(CC1)n1cc(-c2cccc(O)c2)c2c(N)ncnc12,6.096910013,381.1800896,8,2,2.196,TRUE
3538,CHEMBL24026,800,nM,COc1cc2c(Nc3ccc(cc3F)C#N)ncnc2cc1OC\C=C\C[NH+]1CCCC1,6.096910013,433.1914032,7,1,4.42358,TRUE
3539,CHEMBL490569,800,nM,NC(=O)C(\C#N)=C\c1cc(CSc2ccccc2)c(O)c(OCc2ccccc2)c1,6.096910013,416.1194635,5,2,4.65578,TRUE
3540,CHEMBL3219506,800,nM,OB(O)c1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,6.096910013,317.0538629,5,3,1.8457,TRUE
3541,CHEMBL176815,800,nM,COc1cccc(c1)-c1cn(-c2cccc(CO)c2)c2ncnc(N)c12,6.096910013,346.1429758,6,2,3.1706,TRUE
3542,CHEMBL2385985,800,nM,CCOc1cc(N)c(cc1NC(=O)c1ccc(CN2CC[NH+](C)CC2)cc1)C(=O)Nc1ccc(F)c(Cl)c1,6.096910013,539.2099458,6,3,4.712,TRUE
3543,CHEMBL2385975,800,nM,CCOc1cc(N)c(cc1NC(=O)\C=C\C[NH+](C)C)C(=O)Nc1ccc(OCc2ccccn2)c(Cl)c1,6.096910013,523.1986321,7,3,4.6035,TRUE
3546,CHEMBL247127,810,nM,C1CO[C@@H](C[NH2+]1)COCc1ccn2ncnc(Nc3ccc4n(Cc5cccnc5)ncc4c3)c12,6.091514981,470.2178721,10,2,2.7709,TRUE
3547,CHEMBL93635,810,nM,Clc1cccc(Nc2ncnc3cc(ccc23)N(=O)=O)c1,6.091514981,300.0414032,5,1,3.935,TRUE
3548,CHEMBL324718,810,nM,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)C=C,6.091514981,422.0378378,5,2,4.74568,TRUE
3552,CHEMBL1821873,820,nM,COc1ccc(cc1)C1CC(=NN1c1nc(cs1)-c1ccc(Cl)cc1)c1ccc(C)c(C)c1,6.086186148,473.1328611,5,0,7.44464,TRUE
3553,CHEMBL307062,820,nM,Cc1cccc(Nc2ncnc3[nH]c4CCCCc4c23)c1,6.086186148,278.1531466,3,2,3.88872,TRUE
3554,CHEMBL2347967,820,nM,OC[C@@H](Nc1ncnc2oc(-c3ccccc3)c(-c3cccc(c3)N(=O)=O)c12)c1ccccc1,6.086186148,452.1484551,7,2,5.6105,TRUE
3555,CHEMBL328277,820,nM,COc1cc2ncnc(N3CCc4ccccc34)c2cc1OC,6.086186148,307.1320768,5,0,3.3412,TRUE
3556,CHEMBL90541,820,nM,COc1cc2ncnc(Nc3nnc4ccccc4n3)c2cc1OC,6.086186148,334.1178237,8,1,2.7288,TRUE
3558,CHEMBL3774609,823.9,nM,Brc1ccc(Nc2ncnc3cc4OCC(=O)N(CCCN5CCOCC5)c4cc23)cc1,6.084125497,497.1062517,7,1,3.5836,TRUE
